Type;SIRET;Numero PV;Raison sociale;Adresse;CP;UL;Ville;Département;Région;IDCC;FD;Lib IDCC;Date;Coll;Inscrits;Votants;sve_total;CGT;CFDT;CGT-FO;CFTC;CFE-CGC;SOLIDAIRES;UNSA;AUTRES
CSE;43440628600014;4500019;AUTOCARS BERNARD PONS ET FILS;RTE DE CLERMONT;34600;BÉDARIEUX;BEDARIEUX;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;14/01/2021;5;60;32;30;0;0;30;0;0;0;0;0
CSE;80901566200020;4509708;E PHILEA;266 ROUTE DE LA CROIX D ARLES;34690;MONTPELLIER;FABREGUES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;18/01/2021;1;23;18;4;0;0;4;0;0;0;0;0
CSE;50090903100014;4512262;MIDI TRANS EXPRESS LOGISTIQUE;281  AV DU MARCHE GARE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;15/03/2021;5;108;59;54;0;54;0;0;0;0;0;0
CSE;88848850900017;4520688;SOLUTION DISTRIBUTION COLIS;1 RUE EDMOND FREMY;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;22/04/2021;5;45;33;33;0;23;0;0;0;0;10;0
CSE;30135143300091;4527432;TRANSDEV OCCITANIE OUEST;3 AVENUE D AMSTERDAM;34350;BEZIERS;VENDRES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;07/05/2021;2;8;8;8;0;8;0;0;0;0;0;0
CSE;30135143300091;4527433;TRANSDEV OCCITANIE OUEST;3 AVENUE D AMSTERDAM;34350;BEZIERS;VENDRES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;07/05/2021;1;96;78;74;3;53;12;0;0;0;0;6
CSE;35131571800012;4567218;SAS AMBULANCE ECLAIR;18 AVENUE PIERRE VERDIER;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;08/12/2021;5;17;16;8;8;0;0;0;0;0;0;0
CSE;35245107400020;4654494;NATIONAL CALSAT;Z I DE LA CLAU;34770;SETE;GIGEAN;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;02/06/2022;1;162;84;81;0;0;0;0;0;0;0;81
CSE;35245107400020;4654495;NATIONAL CALSAT;Z I DE LA CLAU;34770;SETE;GIGEAN;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;02/06/2022;2;8;7;7;0;0;0;0;0;0;0;7
CSE;50907903400021;4655347;DOUMEN LOGISTIQUE SERVICES;ZA BEZIERS OUEST RN 112;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;19/05/2022;5;19;14;11;0;0;0;0;0;0;0;11
CSE;75044689000048;4720882;PERRENOT BUCHACA;PARC D ACTIVITE DE LA MERIDIENNE;34500;BEZIERS;BEZIER;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;17/10/2022;5;99;69;68;56;0;0;12;0;0;0;0
CSE;57204721500122;4776483;LES COURRIERS DU MIDI;9 RUE DE L ABRIVADO;34070;MONTPELLIER;MONTPELLIER;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;02/12/2022;1;230;199;196;177;0;19;0;0;0;0;0
CSE;49437871400047;4784794;ANTRANS TRACTION LOCATION SERVICES - ATLS;7-9 RUE PAUL LANGEVIN;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;20/02/2023;5;15;9;9;0;9;0;0;0;0;0;0
CSE;43781383500042;4809649;TMF TRANSPORTS SERVIAN;8 RUE PAUL LANGEVIN;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;17/03/2023;1;348;201;188;14;127;10;19;0;18;0;0
CSE;43781383500042;4809650;TMF TRANSPORTS SERVIAN;8 RUE PAUL LANGEVIN;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;17/03/2023;2;25;24;18;0;11;7;0;0;0;0;0
CSE;48182945500049;4815525;OLANO MEDITERRANEE;257 AVENUE DES ROMARINS;34560;SETE;POUSSAN;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;20/03/2023;5;46;9;8;0;0;8;0;0;0;0;0
CSE;52474344000017;4831084;KEOLIS MEDITERRANEE;9061 CHEMIN DE LA GUIRAUDETTE;34300;AGDE PEZENAS;AGDE;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;19/01/2023;5;66;51;49;0;0;0;0;0;0;49;0
CSE;81239592900035;4836634;CARS MEDITERRANEE MONTPELLIER;470 AVENUE DE LA ROYALE;34160;LUNEL;CASTRIES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;08/03/2023;5;74;55;54;0;0;54;0;0;0;0;0
CSE;77597210200013;4839629;PLA;51  AV ENSEIGNE ALBERTINI;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;10/05/2023;1;43;26;24;0;24;0;0;0;0;0;0
CSE;41536810900054;4843814;SOTRAB S.E.;RUE CLEMENT POUGET;34740;MONTPELLIER;VENDARGUES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;14/04/2023;5;51;23;21;0;0;0;21;0;0;0;0
