Type;SIRET;Numero PV;Raison sociale;Adresse;CP;UL;Ville;Département;Région;IDCC;FD;Lib IDCC;Date;Coll;Inscrits;Votants;sve_total;CGT;CFDT;CGT-FO;CFTC;CFE-CGC;SOLIDAIRES;UNSA;AUTRES;siret;coordonneeLambertAbscisseEtablissement;coordonneeLambertOrdonneeEtablissement;longitude;latitude
CSE;43440628600014;4500019;AUTOCARS BERNARD PONS ET FILS;RTE DE CLERMONT;34600;BÉDARIEUX;BEDARIEUX;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;14/01/2021;5;60;32.0;30.0;0.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;43440628600014;714051.2966589225;6279444.688885819;3.1740110000000006;43.61391399999999
CSE;80901566200020;4509708;E PHILEA;266 ROUTE DE LA CROIX D ARLES;34690;MONTPELLIER;FABREGUES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;18/01/2021;1;23;18.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;80901566200020;764646.1188674917;6273910.265702464;3.7998560000000006;43.561310999999996
CSE;50090903100014;4512262;MIDI TRANS EXPRESS LOGISTIQUE;281  AV DU MARCHE GARE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;15/03/2021;5;108;59.0;54.0;0.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;50090903100014;771094.1723120601;6276721.115076371;3.8800179999999993;43.58598299999999
CSE;35131571800012;4567218;SAS AMBULANCE ECLAIR;18 AVENUE PIERRE VERDIER;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;08/12/2021;5;17;16.0;8.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35131571800012;718710.931348805;6249488.4166509835;3.2306319999999995;43.34429499999999
CSE;50907903400021;4655347;DOUMEN LOGISTIQUE SERVICES;ZA BEZIERS OUEST RN 112;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;19/05/2022;5;19;14.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;50907903400021;710824.5839112339;6250175.551842965;3.1334390000000005;43.350639999999984
CSE;75044689000048;4720882;PERRENOT BUCHACA;PARC D ACTIVITE DE LA MERIDIENNE;34500;BEZIERS;BEZIER;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;17/10/2022;5;99;69.0;68.0;56.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;75044689000048;723130.4852836533;6249190.818746265;3.2850940000000004;43.34148799999999
CSE;57204721500122;4776483;LES COURRIERS DU MIDI;9 RUE DE L ABRIVADO;34070;MONTPELLIER;MONTPELLIER;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;02/12/2022;1;230;199.0;196.0;177.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;57204721500122;771717.6450471405;6277124.782362371;3.887791000000001;43.589551999999976
CSE;48182945500049;4815525;OLANO MEDITERRANEE;257 AVENUE DES ROMARINS;34560;SETE;POUSSAN;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;20/03/2023;5;46;9.0;8.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;48182945500049;754845.1107650361;6263782.13718106;3.6775209999999996;43.47101599999998
CSE;52474344000017;4831084;KEOLIS MEDITERRANEE;9061 CHEMIN DE LA GUIRAUDETTE;34300;AGDE PEZENAS;AGDE;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;19/01/2023;5;66;51.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;52474344000017;738060.0242952101;6242765.045085866;3.4686340000000007;43.283043
CSE;46280059000020;4875844;TAB;11 RUE MARYSE BASTIE;34430;MONTPELLIER;SAINT JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;13/06/2023;2;18;17.0;17.0;0.0;8.0;9.0;0.0;0.0;0.0;0.0;0.0;46280059000020;767866.1079666864;6274271.47604224;3.8397409999999996;43.56425999999998
CSE;46280059000020;4875845;TAB;11 RUE MARYSE BASTIE;34430;MONTPELLIER;SAINT JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;13/06/2023;3;45;31.0;24.0;0.0;8.0;16.0;0.0;0.0;0.0;0.0;0.0;46280059000020;767866.1079666864;6274271.47604224;3.8397409999999996;43.56425999999998
CSE;46280059000020;4875846;TAB;11 RUE MARYSE BASTIE;34430;MONTPELLIER;SAINT JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;13/06/2023;1;132;85.0;85.0;0.0;28.0;57.0;0.0;0.0;0.0;0.0;0.0;46280059000020;767866.1079666864;6274271.47604224;3.8397409999999996;43.56425999999998
CSE;35108719200024;4958900;TRANSDEV OCCITANIE LITTORAL;119 AVENUE LOUIS BLERIOT;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;04/10/2023;2;19;13.0;9.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;35108719200024;773431.9593033725;6281426.447473261;3.9096240000000004;43.628078999999985
CSE;35108719200024;4958901;TRANSDEV OCCITANIE LITTORAL;119 AVENUE LOUIS BLERIOT;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;04/10/2023;1;135;120.0;112.0;0.0;69.0;0.0;0.0;0.0;0.0;43.0;0.0;35108719200024;773431.9593033725;6281426.447473261;3.9096240000000004;43.628078999999985
CSE;57292191400048;4980385;VIGOUROUX TRANSPORTS;ROUTE DE NARBONNE;34500;BEZIERS;BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;07/11/2023;1;138;82.0;81.0;17.0;0.0;64.0;0.0;0.0;0.0;0.0;0.0;57292191400048;715679.1630784223;6247849.979121676;3.193213;43.329628999999976
CSE;44324004900017;4984778;BERTO LANGUEDOC ROUSSILLON;ZI DES FOURNELS 721 RUE DES FOURNELS;34400;LUNEL;LUNEL;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;02/11/2023;1;192;67.0;56.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44324004900017;789454.6740594093;6287447.16975952;4.109126;43.68040599999999
CSE;30673168800108;5045637;GEODIS D ET E MEDITERRANEE MONTPELLIER;RUE DU TRAITE DE ROME PARC D ACTIVITE;34430;MONTPELLIER;ST JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;29/11/2023;4;25;23.0;22.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;30673168800108;767805.4346478862;6274831.911780441;3.839063999999999;43.56930799999997
CSE;30673168800108;5045638;GEODIS D ET E MEDITERRANEE MONTPELLIER;RUE DU TRAITE DE ROME PARC D ACTIVITE;34430;MONTPELLIER;ST JEAN DE VEDAS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;29/11/2023;4;25;21.0;18.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;30673168800108;767805.4346478862;6274831.911780441;3.839063999999999;43.56930799999997
CSE;44915194300031;5214829;STEF TRANSPORT MONTPELLIER;RUE TERRE DE ROY;34740;MONTPELLIER;VENDARGUES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;31/05/2024;1;64;48.0;44.0;14.0;15.0;0.0;15.0;0.0;0.0;0.0;0.0;44915194300031;776836.4073470378;6284566.5265951445;3.9522609999999996;43.655969999999996
CSE;44467279400021;5286967;C.S.C. TRANSPORTS;CHE DE LA BEDISSIERE;34490;BEZIERS;THEZAN-LES-BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;09/12/2024;5;14;13.0;13.0;2.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;44467279400021;712893.0108693537;6255439.962012885;3.159068;43.39796499999998
CSE;77605426400010;4659673;MAISON D ENFANTS N-D DE BON SECOURS;2452  AV DU PERE SOULAS;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;21/06/2022;2;66;38.0;37.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77605426400010;768114.0138135443;6281560.904696029;3.843771999999999;43.62982000000001
CSE;77605426400010;4659674;MAISON D ENFANTS N-D DE BON SECOURS;2452  AV DU PERE SOULAS;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;21/06/2022;1;50;18.0;17.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77605426400010;768114.0138135443;6281560.904696029;3.843771999999999;43.62982000000001
CSE;31147185800077;4663164;FONDATION CHARLES MION AIDER SANTE;787 RUE DE LA VALSIERE;34790;MONTPELLIER;GRABELS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/06/2022;2;77;18.0;14.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;31147185800077;767052.7421851348;6283583.799947163;3.83089;43.64812199999999
CSE;30007284000030;4664153;GROUPE ADENE;GROUPE ADENE PARC EUROMEDECINE II CS;34080;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;08/06/2022;5;26;20.0;18.0;0.0;0.0;0.0;0.0;13.0;5.0;0.0;0.0;30007284000030;766619.0051787724;6282435.699251468;3.825366999999999;43.637832999999986
CSE;40196658500010;4678569;CENTRE DE LA ROSERAIE STE ODILE;16  RUE SAINT VINCENT DE PAUL;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;24/10/2022;1;36;23.0;21.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;40196658500010;770592.2802218134;6280719.492825451;3.8743540000000003;43.622006999999996
CSE;40196658500010;4678570;CENTRE DE LA ROSERAIE STE ODILE;16  RUE SAINT VINCENT DE PAUL;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;24/10/2022;2;4;4.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;40196658500010;770592.2802218134;6280719.492825451;3.8743540000000003;43.622006999999996
CSE;31147185800077;4683131;FONDATION CHARLES MION AIDER SANTE;787 RUE DE LA VALSIERE;34790;MONTPELLIER;GRABELS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/06/2022;1;341;228.0;204.0;0.0;0.0;204.0;0.0;0.0;0.0;0.0;0.0;31147185800077;767052.7421851348;6283583.799947163;3.83089;43.64812199999999
CSE;81168609600017;4743474;ETABLISSEMENT INSTITUT SAINT PIERRE;371 AVENUE DE L EVECHE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/10/2022;3;59;34.0;33.0;0.0;0.0;0.0;0.0;33.0;0.0;0.0;0.0;81168609600017;774693.9333434581;6269941.004054699;3.9235910000000005;43.52461399999999
CSE;81168609600017;4743476;ETABLISSEMENT INSTITUT SAINT PIERRE;371 AVENUE DE L EVECHE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/10/2022;1;79;14.0;11.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81168609600017;774693.9333434581;6269941.004054699;3.9235910000000005;43.52461399999999
CSE;81168609600017;4743477;ETABLISSEMENT INSTITUT SAINT PIERRE;371 AVENUE DE L EVECHE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/10/2022;2;144;45.0;31.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81168609600017;774693.9333434581;6269941.004054699;3.9235910000000005;43.52461399999999
CSE;34034342500310;4800821;ADPEP34 MECS LES TERRES ROUGES;12 RUE COUTELLERIE;34800;BEZIERS;CLERMONT L HERAULT;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;10/03/2023;5;69;41.0;38.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34034342500310;734799.8285871154;6280852.077714485;3.4310519999999998;43.62586199999998
CSE;34034342500237;4800822;MAISON D ACCUEIL SPECIALISEE;ZAE LA GARRIGUE 9 RUE DU MOULIN A;34725;CLERMONT-L-HERAULT;ST ANDRE DE SANGONIS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;10/03/2023;5;128;84.0;81.0;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34034342500237;741822.5757296684;6283548.857467775;3.5182569999999997;43.64974699999999
CSE;34034342500252;4800824;ATELIERS KENNEDY;285 RUE MAS DE PRUNET;34070;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;10/03/2023;5;106;67.0;66.0;66.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34034342500252;767127.2240005252;6278217.52180464;3.831113;43.59983299999999
CSE;77608092100013;4801504;ASS OEUVRES SOCIALES VILLE;5  RUE DU COUSTOU;34220;BÉDARIEUX;SAINT-PONS-DE-THOMIERES;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;23/03/2023;1;63;41.0;41.0;8.0;10.0;8.0;15.0;0.0;0.0;0.0;0.0;77608092100013;680759.2883446706;6265518.483949207;2.7622429999999993;43.48849399999998
CSE;77608092100013;4801505;ASS OEUVRES SOCIALES VILLE;5  RUE DU COUSTOU;34220;BÉDARIEUX;SAINT-PONS-DE-THOMIERES;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;23/03/2023;2;28;18.0;16.0;4.0;7.0;0.0;5.0;0.0;0.0;0.0;0.0;77608092100013;680759.2883446706;6265518.483949207;2.7622429999999993;43.48849399999998
CSE;34106240401427;4812116;CSE OCCITANIE EST;IME LA CORNICHE;34200;SETE;SETE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/03/2023;3;55;11.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34106240401427;754371.56;6255431.39;3.6707950110690795;43.39592703235744
CSE;34106240401427;4812117;CSE OCCITANIE EST;IME LA CORNICHE;34200;SETE;SETE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/03/2023;1;197;69.0;68.0;68.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34106240401427;754371.56;6255431.39;3.6707950110690795;43.39592703235744
CSE;77606893400038;4874880;ASSOCIATION CHARLES PREVOST - NOTRE DAME DE LENNE;18 B AV DE CASTELNAU;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;30/05/2023;1;163;82.0;79.0;11.0;0.0;0.0;0.0;0.0;68.0;0.0;0.0;77606893400038;771389.753606291;6280779.611621186;3.884239;43.622467999999984
CSE;77606541900033;4939158;CENTRE ORTHOPEDIQUE MAGUELONE;845 AV GEORGES FRECHE;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;22/09/2023;2;38;30.0;29.0;18.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;77606541900033;773327.622287441;6280986.665635974;3.9082689999999993;43.62413299999999
CSE;77606541900033;4939159;CENTRE ORTHOPEDIQUE MAGUELONE;845 AV GEORGES FRECHE;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;22/09/2023;1;17;14.0;13.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77606541900033;773327.622287441;6280986.665635974;3.9082689999999993;43.62413299999999
CSE;47934358400013;4963937;UNION MUTUALISTE PROPARA;263 RUE DU CADUCEE;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;06/10/2023;1;70;24.0;23.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47934358400013;767195.9827007563;6283079.830599562;3.8325989999999996;43.64357399999997
CSE;47934358400013;4963939;UNION MUTUALISTE PROPARA;263 RUE DU CADUCEE;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;06/10/2023;2;77;30.0;26.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47934358400013;767195.9827007563;6283079.830599562;3.8325989999999996;43.64357399999997
CSE;33831013900021;4979133;EHPAD ASSOCIATIF;21 RUE TRAS LA MURAILLE;34190;GANGES;GANGES;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/11/2023;5;58;45.0;45.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33831013900021;757089.3717775409;6315355.170471277;3.7109800000000006;43.93488700000001
CSE;34744985200032;5066228;CNRS LA CLAIRIERE;55  RUE DU MAS ROUGE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;11/12/2023;5;17;15.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;34744985200032;773392.721910602;6278697.684015521;3.9087490000000003;43.60353199999999
CSE;77568873211928;5081317;SAVS ADJ EST;515 RUE DE L INDUSTRIE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;27/11/2023;2;52;42.0;38.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77568873211928;771322.8340678585;6276748.676027444;3.8828520000000006;43.58620799999998
CSE;77568873211928;5081318;SAVS ADJ EST;515 RUE DE L INDUSTRIE;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;27/11/2023;1;5;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77568873211928;771322.8340678585;6276748.676027444;3.8828520000000006;43.58620799999998
CSE;34034342500328;5110192;MECS LES MARINIERS;2 RUE DU PASTEUR BENOIT;34200;SETE;SETE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/01/2024;5;80;36.0;30.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34034342500328;754749.055923326;6255260.41566842;3.6754339999999996;43.39435999999998
CSE;77606059200081;5172136;ASSOCIATION GAMMES;6 RUE SAINT BARTHELEMY;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/03/2024;1;178;88.0;84.0;25.2;25.2;0.0;8.4;0.0;25.2;0.0;0.0;77606059200081;770549.18;6278835.2;3.8735620187887307;43.605057987997
CSE;77606059200081;5172137;ASSOCIATION GAMMES;6 RUE SAINT BARTHELEMY;34000;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/03/2024;4;22;5.0;5.0;1.5;1.5;0.0;0.5;0.0;1.5;0.0;0.0;77606059200081;770549.18;6278835.2;3.8735620187887307;43.605057987997
CSE;41359698200020;4644194;ADY;RUE DU TRAITE DE ROME;34430;MONTPELLIER;SAINT-JEAN-DE-VEDAS;34;Occitanie;43;FD CGT COMMERCE;IMPORTATION EXPORTATION COMMISSION COURTAGE;12/04/2022;5;20;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;41359698200020;767805.4346478862;6274831.911780441;3.839063999999999;43.56930799999997
CSE;41101042400033;4674667;ALTRAD PLETTAC MEFRAN;16 AVENUE DE LA GARDIE;34510;AGDE PEZENAS;FLORENSAC;34;Occitanie;43;FD CGT COMMERCE;IMPORTATION EXPORTATION COMMISSION COURTAGE;29/06/2022;2;29;17.0;17.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;41101042400033;738383.1612009761;6254741.952081187;3.473497;43.39076699999997
CSE;41101042400033;4674668;ALTRAD PLETTAC MEFRAN;16 AVENUE DE LA GARDIE;34510;AGDE PEZENAS;FLORENSAC;34;Occitanie;43;FD CGT COMMERCE;IMPORTATION EXPORTATION COMMISSION COURTAGE;29/06/2022;1;42;22.0;17.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41101042400033;738383.1612009761;6254741.952081187;3.473497;43.39076699999997
CSE;89070836500022;4584511;OTERRA;92 AVENUE DES BARRONNES;34730;LUNEL;PRADES LE LEZ;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;02/03/2022;2;71;55.0;54.0;0.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;89070836500022;770340.8991864295;6288586.06299401;3.8723169999999993;43.692810999999985
CSE;39333946000023;4659305;SBM FORMULATION;AVENUE JEAN FOUCAULT CS 621;34535;MONTPELLIER;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;23/05/2022;2;61;49.0;48.0;16.0;24.0;0.0;0.0;0.0;0.0;8.0;0.0;39333946000023;720703.0183091324;6248071.893261675;3.25513;43.331497
CSE;39333946000023;4659306;SBM FORMULATION;AVENUE JEAN FOUCAULT CS 621;34535;MONTPELLIER;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;23/05/2022;1;46;30.0;28.0;24.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;39333946000023;720703.0183091324;6248071.893261675;3.25513;43.331497
CSE;32436902400041;4973852;SA ESTEBAN;ZAC DES CARTES RUE DU PERPIGNAN;34880;MONTPELLIER;LAVERUNE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;07/11/2023;1;13;12.0;12.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;32436902400041;764508.5383479251;6277236.0824163;3.798569999999999;43.59124599999999
CSE;32436902400041;4973853;SA ESTEBAN;ZAC DES CARTES RUE DU PERPIGNAN;34880;MONTPELLIER;LAVERUNE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;07/11/2023;3;29;27.0;25.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;32436902400041;764508.5383479251;6277236.0824163;3.798569999999999;43.59124599999999
CSE;32436902400041;4973854;SA ESTEBAN;ZAC DES CARTES RUE DU PERPIGNAN;34880;MONTPELLIER;LAVERUNE;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;07/11/2023;2;37;33.0;29.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;32436902400041;764508.5383479251;6277236.0824163;3.798569999999999;43.59124599999999
CSE;42316356700021;5015485;GRANDES HUILERIES DU MIDI;2  RUE PAUL LANGEVIN;34500;BEZIERS;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;24/11/2023;2;10;10.0;10.0;2.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;42316356700021;721045.306191378;6248069.562309759;3.259348;43.33146599999999
CSE;42316356700021;5015486;GRANDES HUILERIES DU MIDI;2  RUE PAUL LANGEVIN;34500;BEZIERS;BEZIERS;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;24/11/2023;1;12;10.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42316356700021;721045.306191378;6248069.562309759;3.259348;43.33146599999999
CSE;44460675000032;5063838;MEDINCELL;3 RUE DES FRERES LUMIERE;34830;MONTPELLIER;JACOU;34;Occitanie;44;FD CGT CHIMIE;CHIMIE INDUSTRIE;27/11/2023;3;112;85.0;80.0;0.0;80.0;0.0;0.0;0.0;0.0;0.0;0.0;44460675000032;772654.565647534;6284696.961450748;3.9004569999999994;43.65758499999999
CSE;34761071900010;5217169;GIE GOOD YEAR MIREVAL;RTE DES PLAINES;34110;MONTPELLIER;MIREVAL;34;Occitanie;45;FD CGT CHIMIE;CAOUTCHOUC INDUSTRIE;11/06/2024;1;13;10.0;10.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;34761071900010;765878.6117359597;6269848.977505574;3.814585999999999;43.52465899999998
CSE;34761071900010;5217170;GIE GOOD YEAR MIREVAL;RTE DES PLAINES;34110;MONTPELLIER;MIREVAL;34;Occitanie;45;FD CGT CHIMIE;CAOUTCHOUC INDUSTRIE;11/06/2024;2;38;34.0;34.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;34761071900010;765878.6117359597;6269848.977505574;3.814585999999999;43.52465899999998
CSE;40401020900017;5014519;L'AGENCE;MAS DE GRILLE;34438;CLERMONT-L-HERAULT;ST JEAN DE VEDAS CEDEX;34;Occitanie;86;FD CGT FILPAC;PUBLICITE;16/11/2023;4;72;64.0;59.0;59.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40401020900017;768806.3078500432;6275338.23915975;3.851516;43.57376699999998
CSE;40401020900017;5014520;L'AGENCE;MAS DE GRILLE;34438;CLERMONT-L-HERAULT;ST JEAN DE VEDAS CEDEX;34;Occitanie;86;FD CGT FILPAC;PUBLICITE;16/11/2023;3;31;27.0;23.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40401020900017;768806.3078500432;6275338.23915975;3.851516;43.57376699999998
CSE;32877929300054;4714234;BAXTER FACONNAGE GRABELS;140 RUE CLEMENT FRANCOIS PRUNELLE;34790;MONTPELLIER;GRABELS CEDEX 05;34;Occitanie;176;FD CGT CHIMIE;PHARMACEUTIQUE INDUSTRIE;27/09/2022;3;30;22.0;22.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;32877929300054;766719.309601457;6283171.071953614;3.8267049999999996;43.64443999999999
